Review_ID,Restaurant_ID,User_ID,Rating,Review_Text
REV00000,R0083,U00135,3,Might try again.
REV00001,R0160,U00608,2,Food was cold.
REV00002,R0051,U00580,4,Fresh and hot.
REV00003,R0085,U00587,5,Highly recommended!
REV00004,R0118,U00155,4,Generous portions. The main course was perfectly cooked.
REV00005,R0070,U00644,5,Worth every penny.
REV00006,R0118,U00529,4,Generous portions.
REV00007,R0134,U00766,3,Delivery was very late.
REV00008,R0078,U00521,4,Fresh and hot.
REV00009,R0143,U00320,4,Best in town.
REV00010,R0147,U00024,4,Best in town.
REV00011,R0196,U00853,4,Best in town.
REV00012,R0196,U00778,5,Worth every penny.
REV00013,R0047,U00663,3,Overpriced.
REV00014,R0161,U00446,5,Generous portions.
REV00015,R0078,U00224,3,Standard quality.
REV00016,R0179,U00962,3,Nothing special.
REV00017,R0199,U00042,3,Bad packaging.
REV00018,R0164,U00871,3,Average experience.
REV00019,R0109,U00401,4,Will definitely order again.
REV00020,R0193,U00108,3,Loved the ambiance.
REV00021,R0096,U00865,5,Generous portions. I especially liked the dessert.
REV00022,R0200,U00801,4,Will definitely order again.
REV00023,R0179,U00400,4,Generous portions.
REV00024,R0080,U00741,3,Stale ingredients.
REV00025,R0197,U00859,5,Worth every penny.
REV00026,R0149,U00871,4,"Great service, very fast. I especially liked the dessert."
REV00027,R0175,U00376,5,Highly recommended!
REV00028,R0134,U00954,3,Decent food for the price.
REV00029,R0051,U00282,2,Too salty.
REV00030,R0108,U00202,3,Might try again.
REV00031,R0099,U00013,4,Best in town. I especially liked the dessert.
REV00032,R0032,U00898,5,Fresh and hot.
REV00033,R0186,U00922,4,Amazing food! I especially liked the dessert.
REV00034,R0029,U00561,4,Best in town. I especially liked the dessert.
REV00035,R0144,U00121,2,Not worth the hype.
REV00036,R0086,U00862,5,Fresh and hot. Five stars!
REV00037,R0032,U00041,3,Hit or miss.
REV00038,R0189,U00687,4,"Great service, very fast."
REV00039,R0007,U00401,3,Amazing food!
REV00040,R0175,U00800,5,Fresh and hot.
REV00041,R0082,U00885,3,Nothing special.
REV00042,R0080,U00164,4,Loved the ambiance. The main course was perfectly cooked.
REV00043,R0153,U00953,5,Fresh and hot. The main course was perfectly cooked.
REV00044,R0085,U00999,4,Worth every penny. I especially liked the dessert.
REV00045,R0094,U00699,5,Highly recommended!
REV00046,R0055,U00577,5,Highly recommended!
REV00047,R0040,U00119,4,Highly recommended!
REV00048,R0032,U00415,4,Highly recommended!
REV00049,R0091,U00257,3,A bit plain.
REV00050,R0071,U00123,2,Food was cold.
REV00051,R0045,U00473,4,Highly recommended! I especially liked the dessert.
REV00052,R0062,U00196,4,Generous portions. The main course was perfectly cooked.
REV00053,R0194,U00802,5,Best in town.
REV00054,R0023,U00668,4,Generous portions. Five stars!
REV00055,R0182,U00586,3,Bad packaging.
REV00056,R0165,U00691,5,"Great service, very fast. Five stars!"
REV00057,R0113,U00724,5,Highly recommended!
REV00058,R0177,U00142,5,"Great service, very fast."
REV00059,R0038,U00728,3,Best in town.
REV00060,R0189,U00086,2,Terrible taste.
REV00061,R0180,U00458,4,Best in town.
REV00062,R0092,U00995,1,Stale ingredients.
REV00063,R0168,U00685,3,Average experience.
REV00064,R0200,U00345,5,Generous portions.
REV00065,R0005,U00703,3,Hit or miss.
REV00066,R0133,U00739,4,Amazing food!
REV00067,R0196,U00701,4,"Great service, very fast."
REV00068,R0091,U00217,1,Stale ingredients.
REV00069,R0001,U00213,3,"Met expectations, mostly."
REV00070,R0085,U00077,1,Delivery was very late.
REV00071,R0097,U00515,3,Not enough quantity.
REV00072,R0152,U00419,3,Hit or miss.
REV00073,R0060,U00128,2,Rude staff.
REV00074,R0043,U00662,4,The taste was authentic.
REV00075,R0072,U00818,4,Amazing food!
REV00076,R0120,U00596,3,Food was cold.
REV00077,R0097,U00979,3,Terrible taste.
REV00078,R0165,U00885,4,Worth every penny.
REV00079,R0003,U00919,3,Rude staff.
REV00080,R0073,U00535,3,Standard quality.
REV00081,R0038,U00374,3,Bad packaging.
REV00082,R0116,U00085,4,Highly recommended!
REV00083,R0190,U00061,3,Bad packaging.
REV00084,R0088,U00282,4,Loved the ambiance. Five stars!
REV00085,R0193,U00323,3,A bit plain.
REV00086,R0054,U00762,4,"Great service, very fast."
REV00087,R0175,U00920,4,Amazing food!
REV00088,R0166,U00332,2,Terrible taste.
REV00089,R0172,U00225,5,The taste was authentic.
REV00090,R0162,U00060,4,Fresh and hot.
REV00091,R0159,U00002,5,Generous portions.
REV00092,R0143,U00996,2,Not worth the hype.
REV00093,R0047,U00491,3,Average experience.
REV00094,R0015,U00158,4,"Great service, very fast."
REV00095,R0162,U00630,4,Fresh and hot.
REV00096,R0166,U00079,3,Amazing food!
REV00097,R0160,U00611,2,Terrible taste.
REV00098,R0128,U00943,5,Best in town.
REV00099,R0117,U00232,3,Not worth the hype.
REV00100,R0181,U00688,4,Generous portions.
REV00101,R0133,U00849,4,Fresh and hot.
REV00102,R0008,U00219,4,Amazing food!
REV00103,R0176,U00178,3,Might try again.
REV00104,R0192,U00136,3,A bit plain.
REV00105,R0029,U00515,4,Fresh and hot.
REV00106,R0188,U00615,5,Worth every penny. The main course was perfectly cooked.
REV00107,R0140,U00155,2,Bad packaging.
REV00108,R0127,U00194,3,Average experience.
REV00109,R0057,U00378,3,Standard quality.
REV00110,R0168,U00176,2,Delivery was very late.
REV00111,R0133,U00997,4,Highly recommended!
REV00112,R0185,U00359,2,Stale ingredients.
REV00113,R0125,U00729,5,Will definitely order again. Five stars!
REV00114,R0037,U00152,3,It was okay.
REV00115,R0029,U00898,4,"Great service, very fast."
REV00116,R0085,U00391,5,The taste was authentic. The main course was perfectly cooked.
REV00117,R0021,U00378,3,Not enough quantity.
REV00118,R0115,U00997,2,Terrible taste.
REV00119,R0129,U00675,4,Best in town. The main course was perfectly cooked.
REV00120,R0099,U00102,3,It was okay.
REV00121,R0005,U00770,1,Not enough quantity.
REV00122,R0004,U00559,4,Best in town.
REV00123,R0077,U00796,4,Will definitely order again.
REV00124,R0089,U00164,5,"Great service, very fast."
REV00125,R0170,U00808,3,Hit or miss.
REV00126,R0148,U00729,2,Overpriced.
REV00127,R0038,U00598,3,Standard quality.
REV00128,R0013,U00097,4,Amazing food! The main course was perfectly cooked.
REV00129,R0191,U00569,4,Will definitely order again. The main course was perfectly cooked.
REV00130,R0056,U00857,5,Highly recommended!
REV00131,R0100,U00119,5,Generous portions. Five stars!
REV00132,R0147,U00067,5,Generous portions.
REV00133,R0052,U00544,5,Amazing food!
REV00134,R0130,U00448,4,Worth every penny.
REV00135,R0127,U00826,3,"Met expectations, mostly."
REV00136,R0031,U00303,3,Standard quality.
REV00137,R0195,U00921,3,Average experience.
REV00138,R0079,U00956,4,The taste was authentic.
REV00139,R0162,U00377,5,"Great service, very fast. Five stars!"
REV00140,R0033,U00400,3,"Great service, very fast."
REV00141,R0114,U00201,4,Will definitely order again.
REV00142,R0115,U00269,4,Best in town.
REV00143,R0131,U00025,3,Stale ingredients.
REV00144,R0022,U00919,4,Highly recommended!
REV00145,R0121,U00764,5,"Great service, very fast."
REV00146,R0019,U00233,2,Not enough quantity.
REV00147,R0033,U00098,2,Food was cold.
REV00148,R0046,U00517,5,Best in town.
REV00149,R0154,U00580,5,Best in town.
REV00150,R0108,U00047,3,Overpriced.
REV00151,R0052,U00023,4,Will definitely order again.
REV00152,R0175,U00486,5,Generous portions.
REV00153,R0144,U00622,3,Best in town.
REV00154,R0096,U00454,3,Decent food for the price.
REV00155,R0130,U00932,5,Worth every penny. I especially liked the dessert.
REV00156,R0183,U00731,5,The taste was authentic. The main course was perfectly cooked.
REV00157,R0135,U00443,5,Fresh and hot. The main course was perfectly cooked.
REV00158,R0156,U00424,3,Might try again.
REV00159,R0171,U00142,4,Best in town. Five stars!
REV00160,R0130,U00832,5,Amazing food!
REV00161,R0078,U00707,4,Fresh and hot.
REV00162,R0100,U00772,4,Worth every penny. Five stars!
REV00163,R0136,U00706,5,"Great service, very fast. Five stars!"
REV00164,R0075,U00069,4,Generous portions.
REV00165,R0154,U00327,4,The taste was authentic. The main course was perfectly cooked.
REV00166,R0118,U00155,5,Highly recommended!
